254	0	https://publications.parliament.uk/pa/ld200203/ldjudgmt/jd030619/relax-1.htm 	NAN	NAN	NAN	0	NAN
254	1	------------- NEW JUDGE --------------- 	NAN	NAN	NAN	0	NAN
254	2	LORD NICHOLLS OF BIRKENHEAD 	NAN	NAN	NAN	0	NAN
254	3	My Lords , 	NAN	NAN	NAN	0	NAN
254	4	1 . 	NAN	NAN	NAN	0	NAN
254	5	The principal question raised by these appeals is whether discriminatory acts done by an employer after termination of an employee 's contract of employment are outside the scope of the anti-discrimination legislation . 	NAN	NAN	NAN	0	NAN
254	6	The first appeal raises this question in the context of the Sex Discrimination Act 1975 , the second appeal in the context of the Race Relations Act 1976 , and the third appeal in the context of the Disability Discrimination Act 1995 . 	NAN	NAN	NAN	0	NAN
254	7	In each case the issue has been decided as a preliminary point , without a full investigation of the facts . 	NAN	NAN	NAN	0	NAN
254	8	The facts relevant for the purpose of this preliminary point , as found or agreed for this purpose , can be summarised as follows . 	NAN	NAN	NAN	0	NAN
254	9	The sex discrimination case : Ms Rhys-Harper 2 . 	NAN	NAN	NAN	0	NAN
254	10	The discriminatory act alleged in the sex discrimination case is a little unusual . 	NAN	NAN	NAN	0	NAN
254	11	It relates to an employer 's failure properly to investigate a sexual harassment complaint first made after the termination of the contract of employment . 	NAN	NAN	NAN	0	NAN
254	12	Christine Rhys-Harper was employed by Relaxion Group Plc , now known as Leisure Connection Plc , as a lifeguard and general assistant at the Helston sports centre . 	NAN	NAN	NAN	0	NAN
254	13	In October 1998 she was summarily dismissed on the grounds of misconduct , after a disciplinary hearing conducted by her manager , Mr Osborn . 	NAN	NAN	NAN	0	NAN
254	14	She had been rude to customers . 	NAN	NAN	NAN	0	NAN
254	15	Her contract of employment ended on 22 October . 	NAN	NAN	NAN	0	NAN
254	16	3 . 	NAN	NAN	NAN	0	NAN
254	17	She then availed herself of her right to appeal against the decision to dismiss her . 	NAN	NAN	NAN	0	NAN
254	18	The appeal hearing took place on 9 November . 	NAN	NAN	NAN	0	NAN
254	19	It was conducted by the general manager , Mr Adamson . 	NAN	NAN	NAN	0	NAN
254	20	In the course of this hearing Ms Rhys-Harper complained that during her employment Mr Osborn had regularly subjected her to sexual harassment . 	NAN	NAN	NAN	0	NAN
254	21	On 30 November she was informed that her appeal had been dismissed . 	NAN	NAN	NAN	0	NAN
254	22	She was told also that the company had investigated the sexual harassment complaint , and had concluded there was insufficient evidence to establish a case against Mr Osborn . 	NAN	NAN	NAN	0	NAN
254	23	4 . 	NAN	NAN	NAN	0	NAN
254	24	On 15 February 1999 Ms Rhys-Harper made an application to an employment tribunal in respect of unfair dismissal and sex discrimination . 	NAN	NAN	NAN	0	NAN
254	25	The discrimination alleged was sexual harassment during her employment and , additionally , failure to carry out a proper investigation of her sexual harassment complaint . 	NAN	NAN	NAN	0	NAN
254	26	In April 1999 , after a preliminary hearing , the tribunal ruled that the complaint to the tribunal regarding the series of incidents of sexual harassment was made outside the prescribed period of three months . 	NAN	NAN	NAN	0	NAN
254	27	The claim should have been lodged by early January 1999 . 	NAN	NAN	NAN	0	NAN
254	28	But Relaxion 's decision , given on 30 November after investigation of Ms Rhys-Harper 's complaint , could be in itself a continuing discrimination against her . 	NAN	NAN	NAN	0	NAN
254	29	She had not been seen during the investigation , nor had she been able to challenge the evidence of witnesses . 	NAN	NAN	NAN	0	NAN
254	30	So time ran from 30 November , and her sex discrimination application was in time . 	NAN	NAN	NAN	0	NAN
254	31	5 . 	NAN	NAN	NAN	0	NAN
254	32	Relaxion appealed against this ruling in respect of the alleged post-termination discrimination . 	NAN	NAN	NAN	0	NAN
254	33	The Employment Appeal Tribunal , presided over by Judge Collins , allowed the appeal . 	NAN	NAN	NAN	0	NAN
254	34	The tribunal rightly regarded itself as bound by the decision of the Court of Appeal in Post Office v Adekeye -LSB- 1997 -RSB- ICR 110 . 	NAN	NAN	NAN	0	NAN
254	35	Adekeye 's case was a decision in respect of the Race Relations Act , but the relevant provisions in the Sex Discrimination Act are indistinguishable . 	NAN	NAN	NAN	0	NAN
254	36	The Court of Appeal , comprising Pill , Mantell and Buxton LJJ , dismissed Ms Rhys-Harper 's appeal against that decision : see -LSB- 2001 -RSB- EWCA Civ 634 , -LSB- 2001 -RSB- ICR 1176 . 	NAN	NAN	NAN	0	NAN
254	37	Buxton LJ said , at para 25 , p 1185 , that Peter Gibson LJ 's conclusion in Adekeye 's case was ` entirely persuasive ' . 	NAN	NAN	NAN	0	NAN
254	38	Ms Rhys-Harper has now appealed to your Lordships ' House . 	NAN	NAN	NAN	0	NAN
254	39	The racial discrimination case : Mr D'Souza 6 . 	NAN	NAN	NAN	0	NAN
254	40	The complaint in the racial discrimination case also is a little unusual . 	NAN	NAN	NAN	0	NAN
254	41	The discrimination alleged is the employer 's failure to comply with a reinstatement order made by an employment tribunal . 	NAN	NAN	NAN	0	NAN
254	42	Donald D'Souza was employed by the London Borough of Lambeth as an information systems group manager until his dismissal in January 1990 . 	NAN	NAN	NAN	0	NAN
254	43	The employment tribunal upheld a complaint by Mr D'Souza that he had been unfairly dismissed , discriminated against on racial grounds and victimised within the meaning of the Race Relations Act . 	NAN	NAN	NAN	0	NAN
254	44	The tribunal ordered the council to reinstate Mr D'Souza by 16 January 1993 . 	NAN	NAN	NAN	0	NAN
254	45	On 25 March 1993 the council told Mr D'Souza it was not willing to do so . 	NAN	NAN	NAN	0	NAN
254	46	7 . 	NAN	NAN	NAN	0	NAN
