21	0	https://publications.parliament.uk/pa/ld200102/ldjudgmt/jd010628/norris-1.htm 	NAN	NAN	NAN	0	lord hobhouse
21	1	------------- NEW JUDGE --------------- 	NAN	NAN	NAN	0	lord hobhouse
21	2	LORD HOPE OF CRAIGHEAD 	NAN	NAN	NAN	0	lord hobhouse
21	3	My Lords , 	NAN	NAN	NAN	0	lord hobhouse
21	4	1 . 	NAN	NAN	NAN	0	lord hobhouse
21	5	I have had the advantage of reading in draft the speech of my noble and learned friend , Lord Hobhouse of Woodborough . 	lord hope	lord hobhouse	ackn	0	lord hobhouse
21	6	I agree with it , and for the reasons he gives I would allow the appeal . 	lord hope	lord hobhouse	fullagr	0	lord hobhouse
21	6	I agree with it , and for the reasons he gives I would allow the appeal . 	lord hope	self	outcome	0	lord hobhouse
21	7	2 . 	NAN	NAN	NAN	0	lord hobhouse
21	8	The Court of Appeal held that Mrs Norris had a fair opportunity to put her case in the Crown Court where she and her husband were making common cause and she gave evidence . 	NAN	NAN	NAN	0	lord hobhouse
21	9	It was on that basis that Tuckey LJ said that it would be an abuse of process for her to relitigate the same issues in the High Court : -LSB- 2000 -RSB- 1 WLR 1094 , 1101E-F . 	NAN	NAN	NAN	0	lord hobhouse
21	10	But , as my noble and learned friend has explained , the proceedings in the Crown Court and those in the High Court are designed to serve different purposes and the interests of Mrs Norris and her husband in the matrimonial home are not the same . 	lord hope	lord hobhouse	partagr	0	lord hobhouse
21	11	Mrs Norris was not a party to the proceedings in the Crown Court , nor did the procedure which the statute lays down require her case that she had a beneficial interest in the property to be put at that stage . 	NAN	NAN	NAN	0	lord hobhouse
21	12	3 . 	NAN	NAN	NAN	0	lord hobhouse
21	13	At the stage when the proceedings were in the Crown Court the only question which had to be resolved was the value of the husband 's interest in the house . 	NAN	NAN	NAN	0	lord hobhouse
21	14	The question for that court was the amount of the defendant 's realisable property , as this was the upper limit on the amount of money which he could be ordered to pay under section 1 -LRB- 5 -RRB- of the Drug Trafficking Offences Act 1986 by that court . 	NAN	NAN	NAN	0	lord hobhouse
21	15	It was not the function of the Crown Court to make any order which affected the interests that any third parties might have in the property whose value it took into account when determining the amount of the defendant 's realisable property . 	NAN	NAN	NAN	0	lord hobhouse
21	16	4 . 	NAN	NAN	NAN	0	lord hobhouse
21	17	The scheme of the Act , so far as third party interests are concerned , is for their claims to be resolved in the High Court . 	NAN	NAN	NAN	0	lord hobhouse
21	18	The question for the High Court , when the proceedings reach this stage , relates not to the amount of money which the defendant must pay - that has already been fixed by the order made in the Crown Court - but to the powers which the receiver is to be authorised to exercise . 	NAN	NAN	NAN	0.1	lord hobhouse
21	19	It is at this stage that third parties are entitled to have their claims heard and determined . 	NAN	NAN	NAN	0.1	lord hobhouse
21	20	This is when , as a matter of both substance and procedure , representations may be made as to their interests , if any , in the property which the receiver wishes to realise . 	NAN	NAN	NAN	0.1	lord hobhouse
21	21	This is provided for expressly by section 11 -LRB- 8 -RRB- of the Act , consistently with which RSC , Ord 115 , r 7 -LRB- 4 -RRB- lays down the procedure by which those holding any interest in the realisable property are to be notified . 	NAN	NAN	NAN	0.1	lord hobhouse
21	22	5 . 	NAN	NAN	NAN	0.1	lord hobhouse
21	23	Provisions designed to protect the interests of third parties are conspicuously absent from the rules of procedure that apply at the stage of the hearing in the Crown Court . 	NAN	NAN	NAN	0.1	lord hobhouse
21	24	Third parties are not entitled to participate in the criminal proceedings in that court . 	NAN	NAN	NAN	0.1	lord hobhouse
21	25	But the issue for the Crown Court is not whether any property in which a third party might have an interest is to be confiscated . 	NAN	NAN	NAN	0.1	lord hobhouse
21	26	The order which it makes is an order which is directed against the defendant only , and it is simply an order for the payment of a sum of money . 	NAN	NAN	NAN	0.1	lord hobhouse
