69	0	https://publications.parliament.uk/pa/ld200203/ldjudgmt/jd030410/bellin-1.htm 	NAN	NAN	NAN	0	NAN
69	1	------------- NEW JUDGE --------------- 	NAN	NAN	NAN	0	NAN
69	2	LORD NICHOLLS OF BIRKENHEAD 	NAN	NAN	NAN	0	NAN
69	3	My Lords , 	NAN	NAN	NAN	0	NAN
69	4	1 . 	NAN	NAN	NAN	0	NAN
69	5	Can a person change the sex with which he or she is born ? 	NAN	NAN	NAN	0	NAN
69	6	Stated in an over-simplified and question-begging form , this is the issue raised by this appeal . 	NAN	NAN	NAN	0	NAN
69	7	More specifically , the question is whether the petitioner , Mrs Elizabeth Bellinger , is validly married to Mr Michael Bellinger . 	NAN	NAN	NAN	0	NAN
69	8	On 2 May 1981 Mr and Mrs Bellinger went through a ceremony of marriage to each other . 	NAN	NAN	NAN	0	NAN
69	9	Section 1 -LRB- c -RRB- of the Nullity of Marriage Act 1971 , re-enacted in section 11 -LRB- c -RRB- of the Matrimonial Causes Act 1973 , provides that a marriage is void unless the parties are ` respectively male and female ' . 	NAN	NAN	NAN	0	NAN
69	10	The question is whether , at the time of the marriage , Mrs Bellinger was ` female ' within the meaning of that expression in the statute . 	NAN	NAN	NAN	0	NAN
69	11	In these proceedings she seeks a declaration that the marriage was valid at its inception and is subsisting . 	NAN	NAN	NAN	0	NAN
69	12	The trial judge , Johnson J , refused to make this declaration : see -LSB- 2001 -RSB- 1 FLR 389 . 	NAN	NAN	NAN	0	NAN
69	13	So did the Court of Appeal , by a majority of two to one : see -LSB- 2001 -RSB- EWCA Civ 1140 , -LSB- 2002 -RSB- 2 WLR 411 . 	NAN	NAN	NAN	0	NAN
69	14	The majority comprised Dame Elizabeth Butler-Sloss P and Robert Walker LJ . 	NAN	NAN	NAN	0	NAN
69	15	Thorpe LJ dissented . 	NAN	NAN	NAN	0	NAN
69	16	2 . 	NAN	NAN	NAN	0	NAN
69	17	In an alternative claim , advanced for the first time before your Lordships ' House , Mrs Bellinger seeks a declaration that section 11 -LRB- c -RRB- of the Matrimonial Causes Act 1973 is incompatible with articles 8 and 12 of the European Convention on Human Rights . 	NAN	NAN	NAN	0	NAN
69	18	The Lord Chancellor has intervened in the proceedings as the minister with policy responsibility for that statutory provision . 	NAN	NAN	NAN	0	NAN
69	19	3 . 	NAN	NAN	NAN	0	NAN
69	20	Mrs Bellinger was born on 7 September 1946 . 	NAN	NAN	NAN	0	NAN
69	21	At birth she was correctly classified and registered as male . 	NAN	NAN	NAN	0	NAN
69	22	That is common ground . 	NAN	NAN	NAN	0	NAN
69	23	For as long as she can remember , she felt more inclined to be female . 	NAN	NAN	NAN	0	NAN
69	24	She had an increasing urge to live as a woman rather than as a man . 	NAN	NAN	NAN	0	NAN
69	25	Despite her inclinations , and under some pressure , in 1967 she married a woman . 	NAN	NAN	NAN	0	NAN
69	26	She was then twenty one . 	NAN	NAN	NAN	0	NAN
69	27	The marriage broke down . 	NAN	NAN	NAN	0	NAN
69	28	They separated in 1971 and were divorced in 1975 . 	NAN	NAN	NAN	0	NAN
69	29	4 . 	NAN	NAN	NAN	0	NAN
69	30	Since then Mrs Bellinger has dressed and lived as a woman . 	NAN	NAN	NAN	0.1	NAN
69	31	She underwent treatment , described below . 	NAN	NAN	NAN	0.1	NAN
69	32	When she married Mr Bellinger he was fully aware of her background . 	NAN	NAN	NAN	0.1	NAN
69	33	He has throughout been entirely supportive of her . 	NAN	NAN	NAN	0.1	NAN
69	34	She was described on her marriage certificate as a spinster . 	NAN	NAN	NAN	0.1	NAN
69	35	Apart from that , the registrar did not ask about her gender status , nor did Mrs Bellinger volunteer any information . 	NAN	NAN	NAN	0.1	NAN
69	36	Since their marriage Mr and Mrs Bellinger have lived happily together as husband and wife , and have presented themselves in this way to the outside world . 	NAN	NAN	NAN	0.1	NAN
69	37	The indicia of sex and transsexual people 5 . 	NAN	NAN	NAN	0.1	NAN
69	38	The indicia of human sex or gender -LRB- for present purposes the two terms are interchangeable -RRB- can be listed , in no particular order , as follows . 	NAN	NAN	NAN	0.1	NAN
69	39	-LRB- 1 -RRB- Chromosomes : XY pattern in males , XX in females . 	NAN	NAN	NAN	0.1	NAN
69	40	-LRB- 2 -RRB- Gonads : testes in males , ovaries in females . 	NAN	NAN	NAN	0.1	NAN
69	41	-LRB- 3 -RRB- Internal sex organs other than the gonads : for instance , sperm ducts in males , uterus in females . 	NAN	NAN	NAN	0.1	NAN
69	42	-LRB- 4 -RRB- External genitalia . 	NAN	NAN	NAN	0.1	NAN
69	43	-LRB- 5 -RRB- Hormonal patterns and secondary sexual characteristics , such as facial hair and body shape : no one suggests these criteria should be a primary factor in assigning sex . 	NAN	NAN	NAN	0.1	NAN
69	44	-LRB- 6 -RRB- Style of upbringing and living . 	NAN	NAN	NAN	0.1	NAN
69	45	-LRB- 7 -RRB- Self-perception . 	NAN	NAN	NAN	0.1	NAN
69	46	Some medical research has suggested that this factor is not exclusively psychological . 	NAN	NAN	NAN	0.1	NAN
69	47	Rather , it is associated with biological differentiation within the brain . 	NAN	NAN	NAN	0.1	NAN
69	48	The research has been very limited , and in the present state of neuroscience the existence of such an association remains speculative . 	NAN	NAN	NAN	0.1	NAN
69	49	6 . 	NAN	NAN	NAN	0.1	NAN
69	50	In the vast majority of cases these indicia in an individual all point in the same direction . 	NAN	NAN	NAN	0.1	NAN
69	51	There is no difficulty in assigning male or female gender to the individual . 	NAN	NAN	NAN	0.1	NAN
69	52	But nature does not draw straight lines . 	NAN	NAN	NAN	0.1	NAN
69	53	Some people have the misfortune to be born with physiological characteristics which deviate from the normal in one or more respects , and to lesser or greater extent . 	NAN	NAN	NAN	0.1	NAN
69	54	These people attract the convenient shorthand description of inter-sexual . 	NAN	NAN	NAN	0.1	NAN
69	55	In such cases classification of the individual as male or female is best done by having regard to all the factors I have listed . 	NAN	NAN	NAN	0.1	NAN
69	56	If every person has to be classified as either male or female , that is the best that can be done . 	NAN	NAN	NAN	0.1	NAN
69	57	That was the course , in line with medical opinion , followed by Charles J in W v W -LRB- Physical Inter-sex -RRB- -LSB- 2001 -RSB- Fam 111 , 146d-f . 	NAN	NAN	NAN	0.1	NAN
69	58	That is not the problem arising in the present case . 	NAN	NAN	NAN	0.1	NAN
69	59	7 . 	NAN	NAN	NAN	0.1	NAN
69	60	Transsexual people are to be distinguished from inter-sexual people . 	NAN	NAN	NAN	0.1	NAN
