3.21	69	1	0	0.5	NONE	[2003] UKHL 21	<new-case>	NONE	NONE	NONE	NONE	0	0	0	0	1	0
3.21	69	2	1	0.5	nicholls	LORD NICHOLLS OF BIRKENHEAD	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	1
3.21	69	3	2	0.5	nicholls	My Lords ,	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	5	3	1	nicholls	Can a person change the sex with which he or she is born ?	FRAMING	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	6	4	1	nicholls	Stated in an over-simplified and question-begging form , this is the issue raised by this appeal .	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	7	5	1	nicholls	More specifically , the question is whether the petitioner , Mrs Elizabeth Bellinger , is validly married to Mr Michael Bellinger .	FRAMING	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	8	6	1	nicholls	On 2 May 1981 Mr and Mrs Bellinger went through a ceremony of marriage to each other .	FACT	4	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	9	7	1	nicholls	Section 1 ( c ) of the Nullity of Marriage Act 1971 , re-enacted in section 11 ( c ) of the Matrimonial Causes Act 1973 , provides that a marriage is void unless the parties are ' respectively male and female ' .	BACKGROUND	NONE	NONE	NONE	NONE	1	1	0	0	0	0
3.21	69	10	8	1	nicholls	The question is whether , at the time of the marriage , Mrs Bellinger was ' female ' within the meaning of that expression in the statute .	FRAMING	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	11	9	1	nicholls	In these proceedings she seeks a declaration that the marriage was valid at its inception and is subsisting .	PROCEEDINGS	3	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	12	10	1	nicholls	The trial judge , Johnson J , refused to make this declaration : see [ 2001 ] 1 FLR 389 .	PROCEEDINGS	3	NONE	NONE	NONE	0	0	0	0	1	1
3.21	69	13	11	1	nicholls	So did the Court of Appeal , by a majority of two to one : see [ 2001 ] EWCA Civ 1140 , [ 2002 ] 2 WLR 411 .	PROCEEDINGS	3	NONE	NONE	NONE	0	0	1	0	1	0
3.21	69	14	12	1	nicholls	The majority comprised Dame Elizabeth Butler-Sloss P and Robert Walker LJ .	PROCEEDINGS	NONE	NONE	NONE	NONE	0	0	0	0	0	1
3.21	69	15	13	1	nicholls	Thorpe LJ dissented .	PROCEEDINGS	NONE	NONE	NONE	NONE	0	0	0	0	0	1
3.21	69	17	14	2	nicholls	In an alternative claim , advanced for the first time before your Lordships ' House , Mrs Bellinger seeks a declaration that section 11 ( c ) of the Matrimonial Causes Act 1973 is incompatible with articles 8 and 12 of the European Convention on Human Rights .	PROCEEDINGS	NONE	NONE	NONE	NONE	1	1	1	0	0	0
3.21	69	18	15	2	nicholls	The Lord Chancellor has intervened in the proceedings as the minister with policy responsibility for that statutory provision .	PROCEEDINGS	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	20	16	3	nicholls	Mrs Bellinger was born on 7 September 1946 .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	21	17	3	nicholls	At birth she was correctly classified and registered as male .	FACT	4	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	22	18	3	nicholls	That is common ground .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	23	19	3	nicholls	For as long as she can remember , she felt more inclined to be female .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	24	20	3	nicholls	She had an increasing urge to live as a woman rather than as a man .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	25	21	3	nicholls	Despite her inclinations , and under some pressure , in 1967 she married a woman .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	26	22	3	nicholls	She was then twenty one .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	27	23	3	nicholls	The marriage broke down .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	28	24	3	nicholls	They separated in 1971 and were divorced in 1975 .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
3.21	69	30	25	4	nicholls	Since then Mrs Bellinger has dressed and lived as a woman .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
