2.23	40	1	0	0.5	NONE	[2002] UKHL 23	<new-case>	NONE	slynn+steyn	NONE	NONE	0	0	0	0	1	0
2.23	40	2	1	0.5	slynn	LORD SLYNN OF HADLEY	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	1
2.23	40	3	2	0.5	slynn	My Lords ,	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.23	40	5	3	1	slynn	This appeal raises an important question in the context of planning law .	FRAMING	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.23	40	6	4	1	slynn	The facts and the issues are set out in the speech of my noble and learned friend Lord Steyn to which I gratefully refer .	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	1
2.23	40	8	5	2	slynn	In summary , a committee of the local planning authority decided on 15 September 1999 that planning permission should be granted for a large scale development in Fulham subject to certain conditions being fulfilled .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.23	40	9	6	2	slynn	On 6 April 2000 the appellant applied for leave to move for judicial review of that decision .	PROCEEDINGS	2	NONE	NONE	NONE	0	0	0	0	0	0
2.23	40	10	7	2	slynn	On 12 May 2000 planning permission was actually granted .	FACT	2	NONE	NONE	NONE	0	0	0	0	0	0
2.23	40	12	8	3	slynn	"At that time Order 53 r 4 ( 1 ) of the Rules of the Supreme Court provided that an application for leave to apply for judicial review should be made "" promptly and in any event within three months from the date when grounds for the application first arose "" ."	BACKGROUND	NONE	NONE	NONE	NONE	1	0	1	0	0	0
2.23	40	13	9	3	slynn	If the relevant date was 15 September 1999 the application was clearly out of time .	PROCEEDINGS	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.23	40	14	10	3	slynn	Richards J and the Court of Appeal refused permission on the ground that the application was out of time .	PROCEEDINGS	3	NONE	NONE	NONE	0	0	1	0	0	1
2.23	40	16	11	4	slynn	It is clear that if the challenge is to the resolution ( as it may be ) time runs from that date , but the question on the present appeal is whether , if the application is amended to challenge the grant of planning permission rather than the resolution , time runs from 15 September 1999 or 12 May 2000 .	FRAMING	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.23	40	18	12	5	slynn	In my opinion , for the reasons given by Lord Steyn , where there is a challenge to the grant itself , time runs from the date of the grant and not from the date of the resolution .	DISPOSAL	4	NONE	NONE	NONE	0	0	0	0	0	1
2.23	40	19	13	5	slynn	It seems to me clear that because someone fails to challenge in time a resolution conditionally authorising the grant of planning permission , that failure does not prevent a challenge to the grant itself if brought in time , i e from the date when the planning permission is granted .	DISPOSAL	1	NONE	NONE	NONE	0	0	0	0	0	0
