1.11	7	1	0	0.5	NONE	[2001] UKHL 11	<new-case>	NONE	bingham	NONE	NONE	0	0	0	0	1	0
1.11	7	2	1	0.5	bingham	LORD BINGHAM OF CORNHILL	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	1
1.11	7	3	2	0.5	bingham	My Lords ,	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	5	3	1	bingham	"The issue in this appeal concerns the correct construction of regulation 11 of the Housing Benefit ( General ) Regulations ( SI 1987/  1971 ) ( "" the Regulations "" ) as in force on 1 January 1996 ."	FRAMING	NONE	NONE	NONE	NONE	1	1	0	0	0	0
1.11	7	6	4	1	bingham	This regulation had been the subject of several amendments before that date , and was to be the subject of radical amendment thereafter .	FRAMING	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	7	5	1	bingham	This opinion is directed only to that version of the regulation .	FRAMING	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	8	6	1	bingham	The question for decision by the House may be expressed in this way : where it appears to a local authority ( or a review board ) that the rent payable by a claimant for housing benefit for a dwelling which he occupies is unreasonably high by comparision with the rent payable inrespectof suitable alternative accommodation elsewhere , and the authority ( or the review board ) is required to treat the claimant 's eligible rent as reduced by such amount as it considers appropriate , may the authority ( or the review board ) take account of the claimant 's personal circumstances ( so far as relevant to his housing situation ) when considering the amount by which it is appropriate to treat his eligible rent as reduced ?	FRAMING	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	9	7	1	bingham	The deputy judge ( Mr Gerald Moriarty QC ) gave a negative answer to that question in his judgment ( 11 December 1997 , unreported ) , which the appellant review board contends was correct .	PROCEEDINGS	2	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	10	8	1	bingham	The Court of Appeal ( Stuart-Smith , Thorpe and Mummery LJJ ) gave an affirmative answer ( [ 2000 ] 1 WLR 16 ) , which the respondent ( Mr Mehanne ) seeks to uphold .	PROCEEDINGS	2	NONE	NONE	NONE	0	0	1	0	1	1
1.11	7	12	9	2	bingham	At the end of July 1994 Mr Mehanne with his wife arrived in the United Kingdom from Lebanon and claimed asylum .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	13	10	2	bingham	Just under three years later he was recognised as a refugee .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	15	11	3	bingham	In early December 1995 Mr Mehanne accepted an assured shorthold tenancy of a one - bedroom flat in London W2 at a rent of # 174.51 per week .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	16	12	3	bingham	His wife was in the very early stages of pregnancy with their first child .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	17	13	3	bingham	Mr Mehanne applied for housing benefit from Westminster City Council , the relevant authority .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	18	14	3	bingham	On 10 January 1996 the rent officer determined that the rent Mr Mehanne had agreed to pay was not significantly above a market rent when compared with other properties in London W2 .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	19	15	3	bingham	Ten days later the authority 's housing benefit officer determined under regulation 11 ( 2 ) of the Regulations that for the period December 1995 to June 1996 Mr Mehanne 's eligible rent should be treated as reduced to # 150 per week for the calculation of housing benefit .	FACT	2	NONE	NONE	NONE	1	0	0	0	0	0
1.11	7	20	16	3	bingham	This determination was made on the basis that the rent was unreasonably high by comparison with the rent payable for suitable alternative accommodation in less favoured parts of Westminster .	FACT	4	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	21	17	3	bingham	Mr Mehanne pursued his rights of review under regulations 79 ( 2 ) and 81 of the Regulations , but without success : on 29 July 1996 a review board considered Mr Mehanne 's application and in due course confirmed the authority 's decision that his eligible rent should be treated as reduced by # 24.51 per week .	FACT	2	NONE	NONE	NONE	1	0	0	0	0	0
1.11	7	22	18	3	bingham	The decision of the review board was the subject of a written note signed by the chairman dated 15 September 1996 , later corrected .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
1.11	7	23	19	3	bingham	The review board held that # 150 per week represented a fair approximation of the rent payable for suitable alternative accommodation in the northern area of Westminster .	FACT	NONE	NONE	NONE	NONE	1	0	0	0	0	0
1.11	7	24	20	3	bingham	In reaching its decision the board regarded itself as bound by regulation 11 ( 2 ) to treat Mr Mehanne 's eligible rent as reduced and , in considering the appropriate amount by which to treat the eligible rent as reduced , regarded itself as precluded from paying attention to features of his personal circumstances on which he sought to rely .	FACT	2	NONE	NONE	NONE	1	0	0	0	0	0
