2.21	32	1	0	0.5	NONE	[2002] UKHL 21	<new-case>	NONE	hoffmann	NONE	NONE	0	0	0	0	1	0
2.21	32	2	1	0.5	nicholls	LORD NICHOLLS OF BIRKENHEAD	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	1
2.21	32	3	2	0.5	nicholls	My Lords ,	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	5	3	1	nicholls	I had had the advantage of reading in draft the speech of my noble and learned friend Lord Hoffmann .	TEXTUAL	NONE	NONE	NONE	hoffmann	0	0	0	0	0	1
2.21	32	6	4	1	nicholls	For the reasons he gives , with which I agree , I would allow this appeal .	DISPOSAL	4	hoffmann	3	NONE	0	0	0	0	0	0
2.21	32	8	5	1.5	hoffmann	LORD HOFFMANN	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	1
2.21	32	9	6	1.5	hoffmann	My Lords ,	TEXTUAL	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	11	7	2	hoffmann	"In the 1990s Morgan Grenfell ( "" MG "" ) marketed a simple tax avoidance scheme to create chargeable gains for clients who had available capital losses ."	FACT	5	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	12	8	2	hoffmann	The gain arose out of a premium paid by MG for a long lease of property held by the client , which then took an underlease at a rack rent .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	13	9	2	hoffmann	The efficacy of the scheme depended upon the client being able to deduct the rent and MG being able to deduct the premium as trading expenses .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	14	10	2	hoffmann	The client 's position was uncontroversial but MG 's was more problematic .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	15	11	2	hoffmann	MG contended that the long lease was a trading asset and that the premium was a payment on revenue account .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	16	12	2	hoffmann	The Inland Revenue disagreed .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	17	13	2	hoffmann	It said that the purchase of the lease fell outside the scope of MG 's trading activities and that it was a capital asset .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	18	14	2	hoffmann	The premium was therefore a capital payment .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	20	15	3	hoffmann	The issue was debated between MG 's tax advisers and the revenue in the case of a scheme which had been sold to Tesco .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	21	16	3	hoffmann	There is no dispute that MG were completely open about the way the scheme operated .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	22	17	3	hoffmann	They did not conceal any relevant transactions .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	23	18	3	hoffmann	But the inspector asked to see documents relating to the advice which MG had obtained from leading counsel and solicitors about whether the scheme would work .	FACT	5	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	24	19	3	hoffmann	MG objected on two grounds .	FACT	5	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	25	20	3	hoffmann	First , that the documents were irrelevant .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	26	21	3	hoffmann	They would show no more than the opinions of the lawyers about the legal effect of transactions which had been fully disclosed .	FACT	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	27	22	3	hoffmann	"The second was that they were protected by legal professional privilege ( "" LPP "" ) ."	FACT	5	NONE	NONE	NONE	0	0	0	0	0	1
2.21	32	28	23	3	hoffmann	The inspector invoked his power under section 20 ( 1 ) of the Taxes Management Act 1970 ( as substituted by section 57 ( 1 ) of and Schedule 6 to the Finance Act 1976 and amended by section 142 of the Finance Act 1989 ) :	FACT	NONE	NONE	NONE	NONE	1	1	0	0	0	0
2.21	32	28	24	3.5	hoffmann	""" Subject to this section , an inspector may by notice in writing require a person ?"	BACKGROUND	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	29	25	3.5	hoffmann	( a ) to deliver to him such documents as are in the person 's possession or power and as ( in the inspector 's reasonable opinion ) contain , or may contain , information relevant to ?	BACKGROUND	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	30	26	3.5	hoffmann	"( i ) any tax liability to which the person is or may be subject , or ( ii ) the amount of any such liability ... """	BACKGROUND	NONE	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	31	27	4	hoffmann	On 28 September 1999 the inspector issued a notice under the section , demanding a wide range of documents relating to the advice MG had sought and received in connection with the Tesco transaction .	FACT	5	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	32	28	4	hoffmann	MG issued judicial review proceedings to quash the notice on the grounds of ultra vires , contending , first , that the documents could not reasonably be thought to contain relevant information and secondly , that the Act upon its true construction did not entitle the inspector to require delivery of documents subject to LPP .	PROCEEDINGS	3	NONE	NONE	NONE	0	0	0	0	0	0
2.21	32	34	29	5	hoffmann	The Divisional Court ( Buxton LJ and Penry-Davey J ) rejected both arguments and dismissed the application .	PROCEEDINGS	3	NONE	NONE	NONE	0	0	1	0	0	1
2.21	32	35	30	5	hoffmann	"On the first point , the court accepted that the inspector could reasonably consider that the "" perception "" of the transactions by MG and its advisers revealed by the documents might throw light on whether they formed part of MG 's ordinary trading activities ."	PROCEEDINGS	NONE	NONE	NONE	NONE	0	0	0	0	0	0
