46	0	https://publications.parliament.uk/pa/ld200203/ldjudgmt/jd030130/kanar-1.htm 	NAN	NAN	NAN	0	lord hutton
46	1	------------- NEW JUDGE --------------- 	NAN	NAN	NAN	0	lord hutton
46	2	LORD NICHOLLS OF BIRKENHEAD 	NAN	NAN	NAN	0	lord hutton
46	3	My Lords , 	NAN	NAN	NAN	0	lord hutton
46	4	1 . 	NAN	NAN	NAN	0	lord hutton
46	5	I have had the opportunity of reading in draft the speeches of my noble and learned friends Lord Hope of Craighead and Lord Hutton . 	lord nicholls	lord hope	ackn	0	lord hutton
46	5	I have had the opportunity of reading in draft the speeches of my noble and learned friends Lord Hope of Craighead and Lord Hutton . 	lord nicholls	lord hutton	ackn	0	lord hutton
46	6	For the reasons given by Lord Hutton , with which I agree , I would allow this appeal . 	lord nicholls	lord hutton	fullagr	0	lord hutton
46	6	For the reasons given by Lord Hutton , with which I agree , I would allow this appeal . 	lord nicholls	self	outcome	0	lord hutton
46	7	I agree also with the cautionary observations of Lord Hope of Craighead . 	lord nicholls	lord hope	NAN	0	lord hutton
46	8	------------- NEW JUDGE --------------- 	NAN	NAN	NAN	0	lord hutton
46	9	LORD SLYNN OF HADLEY 	NAN	NAN	NAN	0	lord hutton
46	10	My Lords , 	NAN	NAN	NAN	0	lord hutton
46	11	2 . 	NAN	NAN	NAN	0	lord hutton
46	12	I have had the advantage of reading in draft the speech of my noble and learned friend Lord Hutton . 	lord slynn	lord hutton	ackn	0	lord hutton
46	13	For the reasons he gives with which I agree I would allow the appeal and make the order he proposes . 	lord slynn	lord hutton	fullagr	0	lord hutton
46	13	For the reasons he gives with which I agree I would allow the appeal and make the order he proposes . 	lord slynn	self	outcome	0	lord hutton
46	13	For the reasons he gives with which I agree I would allow the appeal and make the order he proposes . 	lord slynn	lord hutton	outcome	0	lord hutton
46	14	------------- NEW JUDGE --------------- 	NAN	NAN	NAN	0	lord hutton
46	15	LORD STEYN 	NAN	NAN	NAN	0	lord hutton
46	16	My Lords , 	NAN	NAN	NAN	0	lord hutton
46	17	3 . 	NAN	NAN	NAN	0	lord hutton
46	18	For the reasons given by Lord Hutton I would also allow the appeal . 	lord steyn	lord hutton	fullagr	0	lord hutton
46	18	For the reasons given by Lord Hutton I would also allow the appeal . 	lord steyn	self	outcome	0	lord hutton
46	19	The broader observations of Lord Hope of Craighead may provide valuable perspectives in future cases . 	lord steyn	lord hope	partagr	0.1	lord hutton
46	20	------------- NEW JUDGE --------------- 	NAN	NAN	NAN	0.1	lord hutton
46	21	LORD HOPE OF CRAIGHEAD 	NAN	NAN	NAN	0.1	lord hutton
46	22	My Lords , 	NAN	NAN	NAN	0.1	lord hutton
46	23	4 . 	NAN	NAN	NAN	0.1	lord hutton
46	24	I have had the advantage of reading in draft the speech of my noble and learned friend Lord Hutton . 	lord hope	lord hutton	ackn	0.1	lord hutton
46	25	I agree with it , and for the reasons which he has given I too would allow the appeal . 	lord hope	lord hutton	fullagr	0.1	lord hutton
46	25	I agree with it , and for the reasons which he has given I too would allow the appeal . 	lord hope	self	outcome	0.1	lord hutton
46	26	But I should like to add a few observations of my own about the consequences of this decision on statutory custody time limits , in a case where the trial judge is considering whether it would be appropriate to order that a preparatory hearing should be held under Part III of the Criminal Procedure and Investigations Act 1996 . 	NAN	NAN	NAN	0.1	lord hutton
46	27	The statutory time limits 5 . 	NAN	NAN	NAN	0.1	lord hutton
46	28	Section 22 of the Prosecution of Offences Act 1985 gave power to the Home Secretary to make provision by regulations as to the maximum period which was to be allowed to the prosecution to complete any specified preliminary stage of proceedings for an offence -LRB- the `` overall time limit '' -RRB- or during which the accused might be held in custody -LRB- the `` custody time limit '' -RRB- . 	NAN	NAN	NAN	0.1	lord hutton
46	29	Section 22 -LRB- 3 -RRB- of the Act provides that a court may , at any time before the expiry of a time limit , extend it if it is satisfied that there is a good and sufficient cause for doing so and that the prosecution has acted with all due expedition . 	NAN	NAN	NAN	0.1	lord hutton
46	30	This measure has been described as a cautious approach to the establishing of time limits in criminal trials : see the general note to section 22 of the Act in Current Law Statutes 1985 , vol 2 . 	NAN	NAN	NAN	0.1	lord hutton
46	31	Caution has certainly been exercised in making use of the power which the section provides . 	NAN	NAN	NAN	0.1	lord hutton
46	32	Provision was made by the Prosecution of Offences -LRB- Custody Time Limits -RRB- Regulations 1987 -LRB- SI 1987/299 -RRB- for the maximum period that an accused person might be held in custody before trial . 	NAN	NAN	NAN	0.1	lord hutton
46	33	Regulation 5 -LRB- 6B -RRB- of the 1987 Regulations , as amended , provides that where an accused is sent for trial under section 51 of the Crime and Disorder Act 1998 the maximum period of custody between the accused being sent to the Crown Court and the start of the trial shall be 182 days , less any period during which he has been in the custody of the magistrates ' court since his first appearance for the offence . 	NAN	NAN	NAN	0.1	lord hutton
46	34	But no regulations have yet been made providing for overall time limits . 	NAN	NAN	NAN	0.1	lord hutton
46	35	6 . 	NAN	NAN	NAN	0.1	lord hutton
46	36	The custody time limit which regulation 5 -LRB- 6B -RRB- lays down is comparatively generous to the prosecution by United Kingdom standards . 	NAN	NAN	NAN	0.1	lord hutton
